model,mode,param,stretch,I1,I2,I3,J,W,P11,P22,P33,sigma11,sigma22,sigma33
yeoh,uniaxial,2.0606060606060606,2.0606060606060606,5.216685572300546,4.356722501834959,0.9999999999999998,0.9999999999999999,0.971579206329382,1.7545742883821043,0.5931701686771621,0.5931701686771621,3.615486412423731,0.4132204584878938,0.4132204584878938
yeoh,uniaxial,2.090909090909091,2.090909090909091,5.328422565576716,4.410551641175461,1.0,1.0,1.0193703324746721,1.7973634060828152,0.5944744161407851,0.5944744161407851,3.758123485445886,0.41111714959550216,0.41111714959550216
yeoh,uniaxial,2.121212121212121,2.121212121212121,5.442398006034369,4.464669140383428,0.9999999999999996,0.9999999999999998,1.0686301661545252,1.844264290879311,0.5969624405393473,0.5969624405393473,3.9120757685318726,0.40987832913621886,0.40987832913621886
yeoh,uniaxial,2.1515151515151514,2.1515151515151514,5.5585949119879965,4.519058868791062,1.0000000000000002,1.0,1.119473119863965,1.8956257577128321,0.6006700636246797,0.6006700636246797,4.078467539321547,0.4095093136578805,0.4095093136578805
yeoh,uniaxial,2.1818181818181817,2.1818181818181817,5.676997245179062,4.573705808080806,0.9999999999999996,0.9999999999999998,1.1720249451267306,1.9518096131039129,0.6056331208657075,0.6056331208657075,4.2584937013176285,0.41001556108604514,0.41001556108604514
yeoh,uniaxial,2.212121212121212,2.212121212121212,5.797589846157715,4.628595961491431,0.9999999999999998,0.9999999999999999,1.2264230953316022,2.013190831375139,0.6118874749305371,0.6118874749305371,4.453422142132884,0.4114026675487846,0.4114026675487846
yeoh,uniaxial,2.242424242424242,2.242424242424242,5.920358374903828,4.683716271554104,1.0,1.0,1.2828170962429213,2.080157731502124,0.6194690280028505,0.6194690280028505,4.664596125186581,0.41367636406241015,0.41367636406241015
yeoh,uniaxial,2.2727272727272725,2.2727272727272725,6.0452892561983465,4.73905454545455,1.0000000000000004,1.0000000000000002,1.3413689240178122,2.1531121545348983,0.6284137330368456,0.6284137330368456,4.89343671485204,0.41684251311795634,0.41684251311795634
yeoh,uniaxial,2.3030303030303028,2.3030303030303028,6.172369629307427,4.794599387224041,1.0,1.0,1.4022533905776913,2.2324696415366323,0.6387576040412266,0.6387576040412266,5.141445235054062,0.4209071051996872,0.4209071051996872
yeoh,uniaxial,2.3333333333333335,2.3333333333333335,6.301587301587303,4.850340136054424,0.9999999999999998,0.9999999999999999,1.4656585361951961,2.318659611992941,0.6505367254772041,0.6505367254772041,5.410205761316863,0.42587625526399936,0.42587625526399936
yeoh,uniaxial,2.3636363636363638,2.3636363636363638,6.43293070565798,4.906266810112967,1.0000000000000002,1.0,1.531786029169875,2.412125542649415,0.6637872608465749,0.6637872608465749,5.701387646262254,0.4317561992020402,0.4317561992020402
yeoh,uniaxial,2.393939393939394,2.393939393939394,6.566388859829598,4.962370055303886,1.0000000000000007,1.0000000000000002,1.600851572477028,2.513325146739443,0.6785454605394126,0.6785454605394126,6.0167480785580585,0.4385532903059416,0.4385532903059416
yeoh,uniaxial,2.4242424242424243,2.4242424242424243,6.701951331496786,5.018641098484846,1.0,1.0,1.6730853172839841,2.6227305535682235,0.6948476690049463,0.6948476690049463,6.358134675316905,0.446273995755593,0.446273995755593
yeoh,uniaxial,2.4545454545454546,2.4545454545454546,6.839608203244567,5.075071704701337,1.0,1.0,1.7487322832371672,2.7408284884222325,0.7127303313034324,0.7127303313034324,6.72748810794548,0.4549248931400413,0.4549248931400413
yeoh,uniaxial,2.484848484848485,2.484848484848485,6.979350041434299,5.131654138049136,1.0000000000000002,1.0,1.8280527854313906,2.868120452776128,0.7322299990906737,0.7322299990906737,7.126844761443712,0.4645126670245692,0.4645126670245692
